Status,Opportunity,Billing Request: Billing Request Identifier,Billing Request: Created By,Billing Request: Created Date,Billing Request: Last Modified Date,Purpose of Request,Billing Request: ID,Defect Reason Codes,Months of Service,Defect Root Cause
Complete,Amazon NBA Live Sports 2025,Billing Request- 00101186,Elena Salazar Castillo,7/15/2025,9/25/2025,Invoice Revision: Credit/Rebill,a6JHn8649458,Missing Backup Documentation,May; Jun,Late media plan changes from client.
Complete,Amazon TNF 2024 2024,Billing Request- 00101187,Tyler Ward,3/6/2024,4/17/2024,Invoice Revision: Credit/Rebill,a6JHn7187806,Incorrect Invoice Amount,Jan; Feb,
Complete,NASCAR Apex 2025 2024,Billing Request- 00101188,Laura Jenkins,8/10/2024,11/1/2024,Invoice Revision: Credit/Rebill,a6Jat5746424,PO / IO Mismatch,Feb,
Blocked,NWSL Halftime Sponsorship 2024,Billing Request- 00101189,Tyler Ward,12/31/2024,1/17/2025,Invoice Revision: Credit/Rebill,a6Jat9770802,Agency Revision Request,Aug,Incorrect legal terms delayed PTS.
Complete,NWSL Prime Video 2026,Billing Request- 00101190,Sofia Morales,4/2/2026,5/9/2026,Invoice Revision: Credit/Rebill,a6JXt2042711,Late Billing Submission,Jan; Feb,Agency submitted updated invoice mapping.
Complete,Amazon NBA Live Sports 2025,Billing Request- 00101191,Angelica Herrera Calvo,2/15/2025,5/31/2025,Invoice Revision: Missed Billing,a6JHn4815074,Other Invoice Details,Nov; Dec,Client requested retroactive billing adjustments.
Complete,NWSL Halftime Sponsorship 2024,Billing Request- 00101192,Sofia Morales,12/23/2024,1/21/2025,Invoice Revision: Missed Billing,a6Jat3309771,Incorrect Invoice Amount,Nov,Missing supporting documentation from vendor.
Complete,Global Consumer Products 2026,Billing Request- 00101193,Sofia Morales,4/12/2026,4/15/2026,Invoice Revision: Missed Billing,a6JXt7961516,Other Invoice Details,Feb,Manual billing entry issue.
Complete,Streaming Bundle Initiative 2025,Billing Request- 00101194,Sofia Morales,4/17/2025,5/17/2025,Invoice Revision: Missed Billing,a6JXt7175999,,Jun,Missing supporting documentation from vendor.
Complete,Global Consumer Products 2024,Billing Request- 00101195,Angelica Herrera Calvo,10/1/2024,10/2/2024,Invoice Revision: Credit/Rebill,a6JHn3682061,,Sep,Invoice details mismatch with approved campaign.
Complete,TNF Sponsorship 2024,Billing Request- 00101196,Melissa Grant,5/13/2024,7/3/2024,Invoice Revision: Credit/Rebill,a6JXt9586664,Missing Backup Documentation,Jun,Incorrect legal terms delayed PTS.
Complete,NBA Playoffs Campaign 2024,Billing Request- 00101197,Kevin Parker,2/24/2024,5/30/2024,Invoice Revision: Missed Billing,a6JHn4596069,,Oct,Invoice details mismatch with approved campaign.
Complete,NBA League Pass 2025,Billing Request- 00101198,Tyler Ward,11/28/2025,2/17/2026,Invoice Revision: Credit/Rebill,a6Jat4630984,,Nov,Manual billing entry issue.
Remove/Inactive,NASCAR Apex 2025 2025,Billing Request- 00101199,Andrew Rivera,7/18/2025,10/19/2025,Invoice Revision: Credit/Rebill,a6Jat9249059,PO / IO Mismatch,Oct,Manual billing entry issue.
Complete,Amazon TNF 2024 2024,Billing Request- 00101200,Elena Salazar Castillo,2/24/2024,6/17/2024,Invoice Revision: Missed Billing,a6JHn1000159,Late Billing Submission,Jan; Feb,Agency submitted updated invoice mapping.
Complete,Amazon NBA Live Sports 2024,Billing Request- 00101201,Gabo Munoz,7/7/2024,8/4/2024,Invoice Revision: Credit/Rebill,a6JHn8004270,Incorrect Invoice Amount,Feb,Incorrect legal terms delayed PTS.
Ready for Work,WNBA Incremental Scatter 2025,Billing Request- 00101202,Andrew Rivera,5/15/2025,7/13/2025,Invoice Revision: Missed Billing,a6JXt1509483,Missing Backup Documentation,Jan,Incorrect legal terms delayed PTS.
Complete,Global Consumer Products 2024,Billing Request- 00101203,Tyler Ward,4/30/2024,6/28/2024,Invoice Revision: Missed Billing,a6JHn2061726,Missing Backup Documentation,Mar,Missing supporting documentation from vendor.
Waiting on Someone Else,NWSL Prime Video 2025,Billing Request- 00101204,Connor Mora,1/16/2025,1/21/2025,Invoice Revision: Credit/Rebill,a6Jat1738763,,Sep,Late media plan changes from client.
Complete,NASCAR P&Q 2025,Billing Request- 00101205,Andrew Rivera,4/14/2025,7/26/2025,Invoice Copy,a6Jat4939600,,Jan,Client requested retroactive billing adjustments.
Complete,NWSL Halftime Sponsorship 2026,Billing Request- 00101206,Connor Mora,4/22/2026,5/4/2026,Invoice Revision: Missed Billing,a6JHn7107490,PO / IO Mismatch,Dec,Finance validation process delay.
Complete,DirecTV NASCAR Campaign 2026,Billing Request- 00101207,Melissa Grant,2/11/2026,3/31/2026,Invoice Revision: Credit/Rebill,a6JXt6818132,Missing Backup Documentation,Jan; Feb,Invoice details mismatch with approved campaign.
Waiting on Someone Else,NASCAR P&Q 2025,Billing Request- 00101208,Laura Jenkins,6/27/2025,10/4/2025,Invoice Revision: Missed Billing,a6JHn7842181,Late Billing Submission,Mar,Late media plan changes from client.
Complete,NWSL Prime Video 2026,Billing Request- 00101209,Laura Jenkins,3/27/2026,5/7/2026,Invoice Revision: Missed Billing,a6Jat1717322,PO / IO Mismatch,May,Invoice details mismatch with approved campaign.
Remove/Inactive,Retail Media Expansion 2025,Billing Request- 00101210,Connor Mora,3/23/2025,7/10/2025,Invoice Revision: Missed Billing,a6JXt7649652,,Mar; Apr,Incorrect legal terms delayed PTS.
Complete,Amazon TNF 2024 2026,Billing Request- 00101211,Laura Jenkins,1/11/2026,3/19/2026,Invoice Revision: Credit/Rebill,a6Jat4804776,Late Billing Submission,Apr,Invoice details mismatch with approved campaign.
Complete,NWSL Prime Video 2025,Billing Request- 00101212,Angelica Herrera Calvo,7/11/2025,9/20/2025,Invoice Revision: Credit/Rebill,a6JHn2785542,Agency Revision Request,May; Jun,Agency submitted updated invoice mapping.
Complete,Confluence Academy 2026,Billing Request- 00101213,Angelica Herrera Calvo,2/18/2026,5/9/2026,Invoice Revision: Missed Billing,a6JXt6143155,,Jan; Feb,Late media plan changes from client.
Complete,Amazon TNF 2024 2026,Billing Request- 00101214,Connor Mora,1/25/2026,5/8/2026,Invoice Revision: Credit/Rebill,a6Jat2196822,Incorrect Invoice Amount,May; Jun,Incorrect legal terms delayed PTS.
Complete,NWSL Halftime Sponsorship 2025,Billing Request- 00101215,Angelica Herrera Calvo,7/3/2025,9/26/2025,Invoice Revision: Credit/Rebill,a6JHn7290045,Incorrect Invoice Amount,Mar; Apr,Finance validation process delay.
Complete,NWSL Halftime Sponsorship 2025,Billing Request- 00101216,Melissa Grant,10/31/2025,11/6/2025,Invoice Revision: Credit/Rebill,a6JHn8945647,,Nov; Dec,Incorrect legal terms delayed PTS.
Complete,DirecTV NASCAR Campaign 2025,Billing Request- 00101217,Connor Mora,10/28/2025,1/16/2026,Invoice Revision: Credit/Rebill,a6Jat9178027,Late Billing Submission,Sep,
Complete,Prime Sports NFL 2024,Billing Request- 00101218,Gabo Munoz,5/5/2024,8/6/2024,Invoice Revision: Credit/Rebill,a6JXt8873203,Incorrect Invoice Amount,Oct,
Complete,NWSL Halftime Sponsorship 2026,Billing Request- 00101219,Sofia Morales,4/26/2026,5/5/2026,Invoice Revision: Credit/Rebill,a6JXt1473717,Late Billing Submission,Mar,
Waiting on Someone Else,Streaming Bundle Initiative 2024,Billing Request- 00101220,Elena Salazar Castillo,5/20/2024,8/18/2024,Invoice Revision: Credit/Rebill,a6JXt1817300,PO / IO Mismatch,Apr,
Complete,WNBA Incremental Scatter 2025,Billing Request- 00101221,Connor Mora,8/20/2025,9/27/2025,Invoice Revision: Credit/Rebill,a6Jat3597049,Missing Backup Documentation,Jul; Aug,Finance validation process delay.
Complete,Amazon NBA Live Sports 2024,Billing Request- 00101222,Angelica Herrera Calvo,7/17/2024,10/25/2024,Invoice Revision: Credit/Rebill,a6JHn9277057,Agency Revision Request,May; Jun,Incorrect legal terms delayed PTS.
Complete,Confluence Academy 2024,Billing Request- 00101223,Gabo Munoz,3/12/2024,3/29/2024,Invoice Revision: Credit/Rebill,a6JXt8213757,Agency Revision Request,Sep; Oct,Invoice details mismatch with approved campaign.
Complete,NWSL Halftime Sponsorship 2025,Billing Request- 00101224,Connor Mora,2/24/2025,4/19/2025,Invoice Revision: Credit/Rebill,a6JHn2123042,Other Invoice Details,Sep,Invoice details mismatch with approved campaign.
Complete,NBA Playoffs Campaign 2025,Billing Request- 00101225,Angelica Herrera Calvo,9/17/2025,1/13/2026,Invoice Revision: Credit/Rebill,a6JXt4133828,Late Billing Submission,Nov; Dec,Invoice details mismatch with approved campaign.
Complete,Amazon NBA Live Sports 2025,Billing Request- 00101226,Elena Salazar Castillo,9/2/2025,9/11/2025,Invoice Revision: Credit/Rebill,a6Jat3472747,Missing Backup Documentation,Jan; Feb,Client requested retroactive billing adjustments.
Complete,Amazon TNF 2024 2025,Billing Request- 00101227,Elena Salazar Castillo,9/19/2025,12/29/2025,Invoice Revision: Credit/Rebill,a6JXt1148604,,May,Invoice details mismatch with approved campaign.
Complete,Amazon NBA Live Sports 2026,Billing Request- 00101228,Sofia Morales,5/3/2026,5/8/2026,Invoice Revision: Credit/Rebill,a6Jat7507169,Agency Revision Request,Nov; Dec,Incorrect legal terms delayed PTS.
Ready for Work,Retail Media Expansion 2024,Billing Request- 00101229,Kevin Parker,3/6/2024,6/24/2024,Invoice Revision: Credit/Rebill,a6JXt2217859,Missing Backup Documentation,Aug,Missing supporting documentation from vendor.
Complete,NASCAR Apex 2025 2026,Billing Request- 00101230,Gabo Munoz,4/3/2026,5/2/2026,Invoice Revision: Credit/Rebill,a6JHn7620773,Missing Backup Documentation,Dec,Missing supporting documentation from vendor.
Complete,Amazon NBA Live Sports 2025,Billing Request- 00101231,Angelica Herrera Calvo,4/26/2025,7/31/2025,Invoice Revision: Missed Billing,a6JHn3638806,PO / IO Mismatch,Sep; Oct,Late media plan changes from client.
Complete,Confluence Academy 2025,Billing Request- 00101232,Gabo Munoz,2/8/2025,4/5/2025,Invoice Revision: Credit/Rebill,a6JXt3442155,Incorrect Invoice Amount,Sep,Missing supporting documentation from vendor.
Waiting on Someone Else,NASCAR Apex 2025 2024,Billing Request- 00101233,Sofia Morales,11/28/2024,3/12/2025,Invoice Revision: Credit/Rebill,a6JHn8883813,Late Billing Submission,Jan; Feb,
Complete,NASCAR P&Q 2026,Billing Request- 00101234,Kevin Parker,2/5/2026,4/7/2026,Invoice Copy,a6JXt9673780,Agency Revision Request,Mar,Late media plan changes from client.
Complete,DirecTV NASCAR Campaign 2025,Billing Request- 00101235,Kevin Parker,5/19/2025,9/8/2025,Invoice Revision: Credit/Rebill,a6JHn5016713,Missing Backup Documentation,Dec,Late media plan changes from client.
Complete,NWSL Prime Video 2024,Billing Request- 00101236,Kevin Parker,6/20/2024,8/26/2024,Invoice Revision: Credit/Rebill,a6JXt4160035,,May,Late media plan changes from client.
Complete,Global Consumer Products 2024,Billing Request- 00101237,Connor Mora,12/17/2024,2/2/2025,Invoice Revision: Credit/Rebill,a6JXt3909431,Agency Revision Request,Oct,Manual billing entry issue.
Ready for Work,NASCAR P&Q 2024,Billing Request- 00101238,Melissa Grant,11/20/2024,3/7/2025,Invoice Revision: Missed Billing,a6JHn5121051,Late Billing Submission,Sep,Finance validation process delay.
Complete,Confluence Academy 2025,Billing Request- 00101239,Gabo Munoz,3/16/2025,4/18/2025,Invoice Copy,a6JXt7594804,Other Invoice Details,Jul,Late media plan changes from client.
Complete,Global Consumer Products 2026,Billing Request- 00101240,Melissa Grant,4/27/2026,5/5/2026,Invoice Revision: Credit/Rebill,a6JHn1855521,Agency Revision Request,Jul; Aug,Incorrect legal terms delayed PTS.
Complete,NFL Prime Video 2025,Billing Request- 00101241,Connor Mora,7/18/2025,8/28/2025,Invoice Revision: Credit/Rebill,a6Jat1688446,Incorrect Invoice Amount,Apr,
Complete,Prime Sports NFL 2025,Billing Request- 00101242,Gabo Munoz,3/7/2025,6/16/2025,Invoice Revision: Missed Billing,a6JXt2004617,Other Invoice Details,Nov,Late media plan changes from client.
Blocked,NBA League Pass 2024,Billing Request- 00101243,Gabo Munoz,5/3/2024,6/2/2024,Invoice Revision: Credit/Rebill,a6Jat3545152,PO / IO Mismatch,Nov,Manual billing entry issue.
Remove/Inactive,Confluence Academy 2024,Billing Request- 00101244,Andrew Rivera,7/15/2024,8/11/2024,Invoice Revision: Credit/Rebill,a6JXt5525304,Other Invoice Details,Apr,Manual billing entry issue.
Ready for Work,NWSL Halftime Sponsorship 2026,Billing Request- 00101245,Gabo Munoz,2/26/2026,3/29/2026,Invoice Revision: Missed Billing,a6JHn2801653,Missing Backup Documentation,Oct,Missing supporting documentation from vendor.
Complete,NWSL Prime Video 2025,Billing Request- 00101246,Andrew Rivera,11/4/2025,2/21/2026,Invoice Revision: Credit/Rebill,a6Jat7854073,Late Billing Submission,May,Missing supporting documentation from vendor.
Complete,Global Consumer Products 2026,Billing Request- 00101247,Laura Jenkins,4/8/2026,4/11/2026,Invoice Revision: Missed Billing,a6JHn9790177,Incorrect Invoice Amount,Jan,Finance validation process delay.
Complete,NWSL Halftime Sponsorship 2025,Billing Request- 00101248,Tyler Ward,7/18/2025,11/3/2025,Invoice Revision: Missed Billing,a6JXt7336155,,Jan; Feb,Manual billing entry issue.
Complete,NASCAR P&Q 2024,Billing Request- 00101249,Gabo Munoz,6/29/2024,8/20/2024,Invoice Revision: Missed Billing,a6JHn8880476,Agency Revision Request,Aug,Incorrect legal terms delayed PTS.
Complete,Global Consumer Products 2025,Billing Request- 00101250,Melissa Grant,1/12/2025,3/3/2025,Invoice Revision: Credit/Rebill,a6JHn8471356,Other Invoice Details,Mar; Apr,Late media plan changes from client.
Complete,NASCAR Apex 2025 2025,Billing Request- 00101251,Kevin Parker,5/18/2025,7/4/2025,Invoice Revision: Credit/Rebill,a6JXt9676669,PO / IO Mismatch,Jul,Client requested retroactive billing adjustments.
Complete,WNBA Incremental Scatter 2026,Billing Request- 00101252,Elena Salazar Castillo,4/4/2026,4/11/2026,Invoice Revision: Credit/Rebill,a6JXt1839952,Other Invoice Details,Sep; Oct,Late media plan changes from client.
Ready for Work,NWSL Prime Video 2025,Billing Request- 00101253,Tyler Ward,5/31/2025,6/19/2025,Invoice Revision: Credit/Rebill,a6JHn6227752,PO / IO Mismatch,Mar,Manual billing entry issue.
Complete,NBA League Pass 2026,Billing Request- 00101254,Gabo Munoz,1/14/2026,3/29/2026,Invoice Copy,a6Jat4963537,,Jul,Incorrect legal terms delayed PTS.
Complete,WNBA Incremental Scatter 2024,Billing Request- 00101255,Tyler Ward,2/21/2024,3/27/2024,Invoice Revision: Credit/Rebill,a6JHn4001846,PO / IO Mismatch,Jun,Manual billing entry issue.
Waiting on Someone Else,DirecTV NASCAR Campaign 2026,Billing Request- 00101256,Tyler Ward,3/25/2026,5/8/2026,Invoice Revision: Credit/Rebill,a6Jat7606962,Missing Backup Documentation,Feb,Finance validation process delay.
Complete,Global Consumer Products 2024,Billing Request- 00101257,Tyler Ward,3/8/2024,4/8/2024,Invoice Revision: Credit/Rebill,a6Jat8632696,Agency Revision Request,Apr,Manual billing entry issue.
Remove/Inactive,Amazon TNF 2024 2024,Billing Request- 00101258,Sofia Morales,11/6/2024,2/11/2025,Invoice Revision: Credit/Rebill,a6JHn8730483,,Jul; Aug,Missing supporting documentation from vendor.
Remove/Inactive,Streaming Bundle Initiative 2025,Billing Request- 00101259,Elena Salazar Castillo,7/26/2025,11/17/2025,Invoice Copy,a6JHn7798104,PO / IO Mismatch,Mar; Apr,Agency submitted updated invoice mapping.
Complete,NFL Prime Video 2025,Billing Request- 00101260,Kevin Parker,9/13/2025,9/30/2025,Invoice Copy,a6JHn2938375,Late Billing Submission,Jan; Feb,Missing supporting documentation from vendor.
Complete,NWSL Halftime Sponsorship 2024,Billing Request- 00101261,Andrew Rivera,1/13/2024,2/23/2024,Invoice Revision: Credit/Rebill,a6JXt3469105,,May,Late media plan changes from client.
Complete,Amazon NBA Live Sports 2025,Billing Request- 00101262,Laura Jenkins,3/14/2025,3/17/2025,Invoice Revision: Credit/Rebill,a6JXt8804839,Missing Backup Documentation,May; Jun,Agency submitted updated invoice mapping.
Complete,WNBA Incremental Scatter 2025,Billing Request- 00101263,Melissa Grant,1/27/2025,2/28/2025,Invoice Revision: Credit/Rebill,a6JHn7485347,Other Invoice Details,Oct,Invoice details mismatch with approved campaign.
Complete,NWSL Halftime Sponsorship 2026,Billing Request- 00101264,Gabo Munoz,5/3/2026,5/9/2026,Invoice Revision: Credit/Rebill,a6JXt3784101,Other Invoice Details,May,
Complete,NBA League Pass 2024,Billing Request- 00101265,Laura Jenkins,1/13/2024,3/19/2024,Invoice Revision: Credit/Rebill,a6JXt8722401,PO / IO Mismatch,Nov,Late media plan changes from client.
Complete,Prime Sports NFL 2025,Billing Request- 00101266,Sofia Morales,9/22/2025,12/6/2025,Invoice Revision: Credit/Rebill,a6JXt1606595,Agency Revision Request,Sep; Oct,Incorrect legal terms delayed PTS.
Complete,DirecTV NASCAR Campaign 2026,Billing Request- 00101267,Tyler Ward,2/9/2026,5/6/2026,Invoice Revision: Missed Billing,a6JXt5481292,Missing Backup Documentation,Jul,Incorrect legal terms delayed PTS.
Complete,WNBA Incremental Scatter 2025,Billing Request- 00101268,Melissa Grant,5/22/2025,7/12/2025,Invoice Revision: Credit/Rebill,a6Jat4263058,PO / IO Mismatch,Jul,Missing supporting documentation from vendor.
Remove/Inactive,Global Consumer Products 2026,Billing Request- 00101269,Gabo Munoz,2/8/2026,4/4/2026,Invoice Revision: Credit/Rebill,a6Jat3741253,Incorrect Invoice Amount,Jul; Aug,Incorrect legal terms delayed PTS.
Complete,NWSL Halftime Sponsorship 2024,Billing Request- 00101270,Andrew Rivera,3/25/2024,7/22/2024,Invoice Revision: Credit/Rebill,a6JHn7243076,Incorrect Invoice Amount,Nov; Dec,
Complete,DirecTV NASCAR Campaign 2026,Billing Request- 00101271,Elena Salazar Castillo,3/26/2026,5/4/2026,Invoice Revision: Missed Billing,a6JXt9724962,,Aug,Manual billing entry issue.
Complete,DirecTV NASCAR Campaign 2026,Billing Request- 00101272,Kevin Parker,4/22/2026,5/7/2026,Invoice Copy,a6JHn1860445,Incorrect Invoice Amount,Sep,Incorrect legal terms delayed PTS.
Ready for Work,Amazon NBA Live Sports 2026,Billing Request- 00101273,Laura Jenkins,2/27/2026,5/8/2026,Invoice Copy,a6JXt9486648,Late Billing Submission,Jan; Feb,Missing supporting documentation from vendor.
Complete,NBA Playoffs Campaign 2025,Billing Request- 00101274,Laura Jenkins,6/3/2025,6/14/2025,Invoice Copy,a6JXt2112674,Other Invoice Details,Mar; Apr,Missing supporting documentation from vendor.
Complete,NWSL Halftime Sponsorship 2026,Billing Request- 00101275,Andrew Rivera,2/9/2026,4/4/2026,Invoice Revision: Credit/Rebill,a6JHn4954093,Late Billing Submission,Jan; Feb,Manual billing entry issue.
Complete,NBA Playoffs Campaign 2025,Billing Request- 00101276,Connor Mora,5/1/2025,6/7/2025,Invoice Revision: Credit/Rebill,a6JXt7322454,Other Invoice Details,Mar,Incorrect legal terms delayed PTS.
Complete,Streaming Bundle Initiative 2026,Billing Request- 00101277,Gabo Munoz,1/3/2026,1/23/2026,Invoice Revision: Credit/Rebill,a6JXt3548252,Other Invoice Details,Jul; Aug,Agency submitted updated invoice mapping.
Complete,DirecTV NASCAR Campaign 2024,Billing Request- 00101278,Gabo Munoz,5/29/2024,9/14/2024,Invoice Revision: Missed Billing,a6JHn2468345,Missing Backup Documentation,Oct,Invoice details mismatch with approved campaign.
Waiting on Someone Else,Amazon TNF 2024 2024,Billing Request- 00101279,Andrew Rivera,10/25/2024,11/5/2024,Invoice Revision: Credit/Rebill,a6Jat7557612,Other Invoice Details,Sep,Late media plan changes from client.
Complete,Global Consumer Products 2025,Billing Request- 00101280,Sofia Morales,9/27/2025,10/7/2025,Invoice Revision: Credit/Rebill,a6JHn3640633,Other Invoice Details,Jul; Aug,Manual billing entry issue.
Complete,DirecTV NASCAR Campaign 2025,Billing Request- 00101281,Sofia Morales,1/17/2025,3/9/2025,Invoice Revision: Credit/Rebill,a6JHn7018858,Incorrect Invoice Amount,Oct,Missing supporting documentation from vendor.
Complete,DirecTV NASCAR Campaign 2025,Billing Request- 00101282,Gabo Munoz,5/1/2025,8/11/2025,Invoice Revision: Credit/Rebill,a6Jat3604144,Other Invoice Details,Feb,Incorrect legal terms delayed PTS.
Complete,WNBA Incremental Scatter 2024,Billing Request- 00101283,Andrew Rivera,8/17/2024,9/3/2024,Invoice Revision: Credit/Rebill,a6JHn5014016,Late Billing Submission,Mar; Apr,Incorrect legal terms delayed PTS.
Complete,Amazon NBA Live Sports 2026,Billing Request- 00101284,Laura Jenkins,3/19/2026,5/4/2026,Invoice Revision: Credit/Rebill,a6JHn4212645,Other Invoice Details,Feb,Client requested retroactive billing adjustments.
Complete,Amazon NBA Live Sports 2026,Billing Request- 00101285,Andrew Rivera,3/6/2026,4/25/2026,Invoice Copy,a6JXt6428764,Missing Backup Documentation,Nov,Missing supporting documentation from vendor.
Ready for Work,WNBA Incremental Scatter 2025,Billing Request- 00101286,Connor Mora,10/18/2025,2/7/2026,Invoice Revision: Credit/Rebill,a6JHn7975983,Late Billing Submission,Nov,Agency submitted updated invoice mapping.
Remove/Inactive,Streaming Bundle Initiative 2024,Billing Request- 00101287,Melissa Grant,3/12/2024,4/12/2024,Invoice Revision: Missed Billing,a6JXt4028504,Other Invoice Details,Jan,Invoice details mismatch with approved campaign.
Complete,NASCAR P&Q 2025,Billing Request- 00101288,Angelica Herrera Calvo,11/11/2025,12/29/2025,Invoice Revision: Missed Billing,a6JXt4384186,Missing Backup Documentation,Nov,
Complete,Retail Media Expansion 2024,Billing Request- 00101289,Kevin Parker,7/19/2024,11/10/2024,Invoice Copy,a6Jat8632836,PO / IO Mismatch,Oct,
Complete,NASCAR Apex 2025 2026,Billing Request- 00101290,Melissa Grant,4/27/2026,5/3/2026,Invoice Revision: Credit/Rebill,a6Jat8961083,Late Billing Submission,Aug,Invoice details mismatch with approved campaign.
Ready for Work,NASCAR Apex 2025 2026,Billing Request- 00101291,Melissa Grant,2/27/2026,4/26/2026,Invoice Revision: Missed Billing,a6Jat5263793,Incorrect Invoice Amount,Jan,
Complete,NWSL Halftime Sponsorship 2024,Billing Request- 00101292,Sofia Morales,4/23/2024,8/7/2024,Invoice Revision: Credit/Rebill,a6Jat5590828,,Nov; Dec,Missing supporting documentation from vendor.
Complete,DirecTV NASCAR Campaign 2024,Billing Request- 00101293,Sofia Morales,11/23/2024,3/4/2025,Invoice Revision: Credit/Rebill,a6JXt4580502,Agency Revision Request,Nov; Dec,Late media plan changes from client.
Complete,Global Consumer Products 2026,Billing Request- 00101294,Connor Mora,3/2/2026,5/6/2026,Invoice Revision: Missed Billing,a6Jat8205822,Incorrect Invoice Amount,Aug,Finance validation process delay.
Complete,NASCAR P&Q 2024,Billing Request- 00101295,Melissa Grant,3/7/2024,7/5/2024,Invoice Revision: Missed Billing,a6JHn3715584,Missing Backup Documentation,Jun,Invoice details mismatch with approved campaign.
Complete,Confluence Academy 2024,Billing Request- 00101296,Angelica Herrera Calvo,5/27/2024,7/6/2024,Invoice Revision: Credit/Rebill,a6Jat1055838,Other Invoice Details,Sep,Agency submitted updated invoice mapping.
Complete,Prime Sports NFL 2024,Billing Request- 00101297,Connor Mora,8/19/2024,10/2/2024,Invoice Revision: Credit/Rebill,a6JXt5669108,Incorrect Invoice Amount,Mar,Invoice details mismatch with approved campaign.
Complete,DirecTV NASCAR Campaign 2024,Billing Request- 00101298,Tyler Ward,4/6/2024,6/15/2024,Invoice Revision: Missed Billing,a6Jat2064228,Missing Backup Documentation,Nov,Agency submitted updated invoice mapping.
Remove/Inactive,Amazon NBA Live Sports 2025,Billing Request- 00101299,Laura Jenkins,12/20/2025,2/27/2026,Invoice Revision: Missed Billing,a6JHn1499778,,Jan; Feb,Missing supporting documentation from vendor.
Complete,NWSL Halftime Sponsorship 2024,Billing Request- 00101300,Angelica Herrera Calvo,9/19/2024,12/28/2024,Invoice Revision: Missed Billing,a6JHn2122405,,Jul; Aug,
Ready for Work,NASCAR P&Q 2026,Billing Request- 00101301,Kevin Parker,4/10/2026,5/4/2026,Invoice Revision: Credit/Rebill,a6Jat1062440,Incorrect Invoice Amount,Jan,Invoice details mismatch with approved campaign.
Ready for Work,TNF Sponsorship 2025,Billing Request- 00101302,Sofia Morales,8/1/2025,11/5/2025,Invoice Revision: Credit/Rebill,a6Jat9732778,,Apr,Agency submitted updated invoice mapping.
Complete,NASCAR P&Q 2025,Billing Request- 00101303,Angelica Herrera Calvo,10/11/2025,12/21/2025,Invoice Revision: Credit/Rebill,a6JXt6319500,Incorrect Invoice Amount,Nov; Dec,Missing supporting documentation from vendor.
Remove/Inactive,DirecTV NASCAR Campaign 2024,Billing Request- 00101304,Tyler Ward,2/24/2024,3/3/2024,Invoice Revision: Credit/Rebill,a6JHn7368315,Incorrect Invoice Amount,Nov,Missing supporting documentation from vendor.
Complete,NWSL Prime Video 2026,Billing Request- 00101305,Laura Jenkins,4/4/2026,4/14/2026,Invoice Revision: Credit/Rebill,a6Jat5784110,Missing Backup Documentation,Mar,Agency submitted updated invoice mapping.
Remove/Inactive,Amazon TNF 2024 2026,Billing Request- 00101306,Tyler Ward,1/26/2026,3/14/2026,Invoice Revision: Missed Billing,a6JHn3075794,PO / IO Mismatch,Jul,Incorrect legal terms delayed PTS.
Waiting on Someone Else,Confluence Academy 2024,Billing Request- 00101307,Sofia Morales,5/21/2024,6/30/2024,Invoice Revision: Credit/Rebill,a6JXt5986295,Agency Revision Request,Oct,Incorrect legal terms delayed PTS.
Complete,NWSL Halftime Sponsorship 2026,Billing Request- 00101308,Connor Mora,1/11/2026,2/20/2026,Invoice Revision: Credit/Rebill,a6Jat3296660,Other Invoice Details,Jan,Incorrect legal terms delayed PTS.
Complete,NASCAR Apex 2025 2026,Billing Request- 00101309,Connor Mora,1/11/2026,3/13/2026,Invoice Revision: Credit/Rebill,a6JXt5153632,Incorrect Invoice Amount,Jun,Agency submitted updated invoice mapping.
Complete,Amazon TNF 2024 2025,Billing Request- 00101310,Sofia Morales,10/19/2025,1/17/2026,Invoice Revision: Missed Billing,a6Jat3841550,Missing Backup Documentation,Mar; Apr,Client requested retroactive billing adjustments.
Complete,Amazon NBA Live Sports 2025,Billing Request- 00101311,Angelica Herrera Calvo,5/20/2025,8/2/2025,Invoice Revision: Credit/Rebill,a6Jat7516960,,Sep; Oct,Late media plan changes from client.
Complete,NWSL Prime Video 2025,Billing Request- 00101312,Elena Salazar Castillo,7/27/2025,10/11/2025,Invoice Revision: Credit/Rebill,a6Jat8050191,Agency Revision Request,Jul; Aug,Client requested retroactive billing adjustments.
Complete,DirecTV NASCAR Campaign 2026,Billing Request- 00101313,Angelica Herrera Calvo,4/14/2026,5/8/2026,Invoice Revision: Credit/Rebill,a6JXt3012883,Missing Backup Documentation,Feb,Manual billing entry issue.
Complete,Prime Sports NFL 2026,Billing Request- 00101314,Angelica Herrera Calvo,1/12/2026,4/16/2026,Invoice Revision: Credit/Rebill,a6Jat1047272,Agency Revision Request,Apr,Client requested retroactive billing adjustments.
Complete,NWSL Halftime Sponsorship 2025,Billing Request- 00101315,Laura Jenkins,6/24/2025,7/21/2025,Invoice Revision: Missed Billing,a6Jat7186712,Late Billing Submission,Jan; Feb,
Complete,NBA Playoffs Campaign 2025,Billing Request- 00101316,Andrew Rivera,8/16/2025,11/9/2025,Invoice Revision: Credit/Rebill,a6JXt5072979,Late Billing Submission,Sep,Missing supporting documentation from vendor.
